iter	Passed	Remaining
719	1065	414
720	1066	412
721	1066	410
722	1067	409
723	1069	407
724	1070	405
725	1070	404
726	1071	402
727	1072	400
728	1072	398
729	1073	396
730	1073	395
731	1074	393
732	1076	392
733	1079	391
734	1080	389
735	1081	388
736	1082	386
737	1083	384
738	1084	383
739	1085	381
740	1085	379
741	1086	377
742	1086	375
743	1087	374
744	1087	372
745	1088	370
746	1088	368
747	1089	366
748	1089	365
749	1090	363
750	1091	362
751	1093	360
752	1095	359
753	1095	357
754	1096	355
755	1097	354
756	1097	352
757	1098	350
758	1099	349
759	1099	347
760	1100	345
761	1100	343
762	1101	342
763	1102	340
764	1102	338
765	1103	336
766	1103	335
767	1104	333
768	1104	331
769	1106	330
770	1108	329
771	1109	327
772	1110	326
773	1111	324
774	1112	323
775	1113	321
776	1114	319
777	1114	318
778	1115	316
779	1116	314
780	1116	313
781	1117	311
782	1118	309
783	1118	308
784	1119	306
785	1124	306
786	1125	304
787	1126	303
788	1127	301
789	1127	299
790	1128	298
791	1129	296
792	1130	295
793	1131	293
794	1132	291
795	1132	290
796	1133	288
797	1134	287
798	1134	285
799	1137	284
800	1140	283
801	1140	281
802	1141	280
803	1142	278
804	1143	276
805	1144	275
806	1144	273
807	1145	272
808	1146	270
809	1146	269
810	1147	267
811	1148	265
812	1148	264
813	1149	262
814	1151	261
815	1154	260
816	1155	258
817	1155	257
818	1156	255
819	1157	254
820	1158	252
821	1159	251
822	1160	249
823	1160	247
824	1161	246
825	1162	244
826	1162	243
827	1163	241
828	1164	240
829	1165	238
830	1168	237
831	1170	236
832	1171	234
833	1172	233
834	1174	232
835	1174	230
836	1175	228
837	1176	227
838	1176	225
839	1177	224
840	1178	222
841	1178	221
842	1179	219
843	1181	218
844	1184	217
845	1185	215
846	1186	214
847	1186	212
848	1188	211
849	1189	209
850	1189	208
851	1190	206
852	1191	205
853	1191	203
854	1192	202
855	1193	200
856	1194	199
857	1195	197
858	1199	196
859	1200	195
860	1201	193
861	1201	192
862	1203	191
863	1204	189
864	1205	188
865	1206	186
866	1207	185
867	1208	183
868	1209	182
869	1211	181
870	1213	179
871	1214	178
872	1215	176
873	1216	175
874	1217	173
875	1218	172
876	1219	171
877	1220	169
878	1220	168
879	1221	166
880	1222	165
881	1223	163
882	1224	162
883	1224	160
884	1231	160
885	1232	158
886	1268	161
887	1269	160
888	1270	158
889	1270	157
890	1271	155
891	1279	154
892	1280	153
893	1281	151
894	1282	150
895	1283	149
896	1284	147
897	1285	146
898	1286	144
899	1287	143
900	1288	141
901	1289	140
902	1290	138
903	1295	137
904	1296	136
905	1297	134
906	1298	133
907	1299	131
908	1300	130
909	1301	128
910	1302	127
911	1303	125
912	1304	124
913	1305	122
914	1309	121
915	1314	120
916	1315	119
917	1316	117
918	1317	116
919	1318	114
920	1319	113
921	1320	111
922	1356	113
923	1357	111
924	1357	110
925	1359	108
926	1360	107
927	1365	105
928	1367	104
929	1368	102
930	1369	101
931	1370	100
932	1371	98
933	1372	97
934	1373	95
935	1376	94
936	1416	95
937	1417	93
938	1418	92
939	1420	90
940	1421	89
941	1423	87
942	1424	86
943	1425	84
944	1428	83
945	1429	81
946	1430	80
947	1431	78
948	1431	76
949	1432	75
950	1433	73
951	1433	72
952	1434	70
953	1434	69
954	1435	67
955	1436	66
956	1436	64
957	1437	63
958	1437	61
959	1438	59
960	1439	58
961	1439	56
962	1440	55
963	1440	53
964	1443	52
965	1445	50
966	1445	49
967	1446	47
968	1447	46
969	1448	44
970	1448	43
971	1449	41
972	1450	40
973	1450	38
974	1451	37
975	1452	35
976	1452	34
977	1453	32
978	1453	31
979	1454	29
980	1454	28
981	1455	26
982	1456	25
983	1458	23
984	1460	22
985	1460	20
986	1461	19
987	1462	17
988	1463	16
989	1463	14
990	1464	13
991	1464	11
992	1465	10
993	1465	8
994	1466	7
995	1467	5
996	1467	4
997	1468	2
998	1468	1
999	1469	0
